Rank,Model,Accuracy,Precision_failure,Recall_failure,F1_weighted,F1_failure,ROC_AUC,AUC_source,Fit_seconds
1,B9. Bagging (Decision Tree base),0.9865,0.8596491228070176,0.7205882352941176,0.9859251612903225,0.784,0.9598176227012545,predict_proba,1.699
2,B8. Gradient Boosting Classifier,0.986,0.8448275862068966,0.7205882352941176,0.9854625136235875,0.7777777777777778,0.9672923517232981,predict_proba,1.613
3,B10. MLP Classifier,0.981,0.734375,0.6911764705882353,0.9807219454106735,0.7121212121212122,0.9789002557544757,predict_proba,2.996
4,B6. Random Forest Classifier,0.9815,0.8974358974358975,0.5147058823529411,0.9790618963824359,0.6542056074766355,0.9708660638168312,predict_proba,1.689
5,A4. Decision Tree Classifier,0.9755,0.7878787878787878,0.38235294117647056,0.9713649145884067,0.5148514851485149,0.9218540677140421,predict_proba,0.026
6,A2. K-Nearest Neighbors,0.974,0.8333333333333334,0.29411764705882354,0.9679289751234925,0.43478260869565216,0.8290859822189744,predict_proba,0.018
7,B7. AdaBoost Classifier,0.9725,0.7407407407407407,0.29411764705882354,0.9667101556708673,0.42105263157894735,0.9491687979539642,predict_proba,0.884
8,A5. Support Vector Classifier,0.972,0.875,0.20588235294117646,0.9635192373169902,0.3333333333333333,0.9468167701863354,predict_proba,0.762
9,A1. Logistic Regression,0.9675,0.6363636363636364,0.10294117647058823,0.9560115444587566,0.17721518987341772,0.8993880160759956,predict_proba,0.021
10,A3. Gaussian Naive Bayes,0.958,0.25,0.11764705882352941,0.9506338461538462,0.16,0.8468137254901961,predict_proba,0.014
